,sample,median,mean,all IES,IES==0,IES>0,IES>=50,IES==100
0,ND7_a,0.0,2.720141320411258,43136,38101,5035,865,636
1,ND7_b,0.0,2.433324752193425,41795,38690,3105,850,630
2,AS17_a,0.0,3.5249014095693134,43763,37282,6481,1094,667
3,AS17_b,0.0,3.534422577290605,43867,37217,6650,1072,654
4,AS17_c,0.0,3.5442505625899314,42617,38899,3718,1213,746
5,AS17_e,0.0,3.8488933431667176,43183,37628,5555,1319,727
6,AS17_f,0.0,3.9601373016257577,43406,37102,6304,1318,701
7,PS17_b,0.0,2.5331539096542794,39327,37638,1689,939,669
8,PS17_c,0.0,3.8201329147617233,43625,36785,6840,1153,708
9,PS17_d,0.0,3.4923500047173173,40230,34822,5408,1087,716
10,PGM,0.0,2.2886361315361468,40341,38783,1558,863,619
11,ISWI1,4.3478260869565215,10.88122591607658,43946,18848,25098,2046,810
