ICOP2;PTET.51.1.T0180124;GSPATT00007392001;GSPATT00007393001;
ICOP1;PTET.51.1.T0440186;GSPATT00015303001;;
AS17;PTET.51.1.T0620188;GSPATT00019914001;;
PS17;PTET.51.1.T0240213;GSPATT00009444001;;
ND7;PTET.51.1.T0050374;GSPATT00002403001;;
PGM;PTET.51.1.T0490162;GSPATT00016627001;;
CND1;PTET.51.1.T0430205;GSPATT00015029001;;
ISWI1;PTET.51.1.T0140243;GSPATT00006060001;GSPATG00006061001;
CTIPa;PTET.51.1.T0650078;GSPATT00020534001;;
CTIPb;PTET.51.1.T0980137;GSPATT00027328001;;
EZL1;PTET.51.1.T1740049;GSPATT00037872001;;
ICL7a;PTET.51.1.T0700039;GSPATT00021610001;;
KU80c;PTET.51.1.T1140146;GSPATT00030095001;;
KU80a;PTET.51.1.T1460025;GSPATT00034664001;;
KU80b;PTET.51.1.T1510135;GSPATT00035446001;;
XRCC4;PTET.51.1.T1110086;GSPATT00029540001;;
PTIWI01;PTET.51.1.T0710112;GSPATT00021895001;;
PTIWI09;PTET.51.1.T0660118;GSPATT00020796001;;
PTIWI10;PTET.51.1.T0240239;GSPATT00009468001;;
PTIWI11;PTET.51.1.T0620215;GSPATT00019939001;;
PTIWI06;PTET.51.1.T0060034;GSPATT00002500001;;
DCL1;PTET.51.1.T0360062;GSPATT00012932001;;
DCL2;PTET.51.1.T0210241;GSPATT00008494001;;
DCL3;PTET.51.1.T0990073;GSPATT00027456001;;
DCL4;PTET.51.1.T1280115;GSPATT00032258001;;
DCL5;PTET.51.1.T0070121;GSPATT00003051001;;
NOWA1;PTET.51.1.T0170077;GSPATT00006994001;;
NOWA2;PTET.51.1.T0490206;GSPATT00016668001;;
TFIIS4;PTET.51.1.T0900102;GSPATT00025792001;;
PTCAF1;PTET.51.1.T0780031;GSPATT00023285001;;
PO1;PTET.51.1.T1180043;GSPATT00030632001;;
PO2;PTET.51.1.T0930160;GSPATT00026407001;;
MSH4a;PTET.51.1.T0270232;GSPATT00010425001;;
MSH4b;PTET.51.1.T1710021;GSPATT00037600001;;
MSH5;PTET.51.1.T0770160;GSPATT00023204001;;
SPO11;PTET.51.1.T0230191;GSPATT00009108001;;
SPT5m;PTET.51.1.T0770102;GSPATT00023145001;;
PDSG2;PTET.51.1.T0110289;GSPATT00004895001;;
PGML1;PTET.51.1.T0110267;GSPATT00004877001;;
PGML2;PTET.51.1.T0380073;GSPATT00013493001;;
PGML3a;PTET.51.1.T0010374;GSPATT00000358001;;
PGML3b;PTET.51.1.T0080308;GSPATT00003675001;GSPATG00003676001;
PGML3c;PTET.51.1.T0020217;GSPATT00000770001;;
PGML4a;PTET.51.1.T0340197;GSPATT00012475001;;
PGML4b;PTET.51.1.T0480099;GSPATT00016299001;;
PGML5a;PTET.51.1.T0570051;GSPATT00018551001;;
PGML5b;PTET.51.1.T0510172;GSPATT00017164001;;
LIG4a;PTET.51.1.T0540024;GSPATT00017751001;;
DIE5a;PTET.51.1.T0860013;GSPATT00024933001;;
DIE5b;PTET.51.1.T0950081;GSPATT00026720001;;
GTSF1;PTET.51.1.T0490019;GSPATT00016488001;;
H2B;;GSPATT00025378001;;GSPATT00001620001, GSPATT00005440001, GSPATT00008926001, GSPATT00014029001, GSPATT00025299001
H4;;GSPATT00001397001;;
H2A;;GSPATT00013999001;;
Importin alpha 1b;;GSPATP00000526001;;
Importin alpha 2;;GSPATT00006193001;;
